=====================================================================================
  1进2战法回测 — 完整交易记录
=====================================================================================

==== 回测概况 ====
   回测天数: 60天 | 有效交易日: 57天
   akshare覆盖: 13天 | TDX回退: 44天
   总候选: 277笔 | 有效交易: 254笔 | 高开放弃: 23笔

==== 交易统计 ====
   胜: 88笔 | 负: 131笔 | 超时: 35笔
   胜率: 40.2% | 平均收益: -0.1%
   平均盈利: 7.0% | 平均亏损: -5.0%
   总盈利: 616.5% | 总亏损: 658.7% | 盈亏比: 0.94
   滚动10笔胜率(最近5段): [30.0, 40.0, 50.0, 50.0, 50.0]

==== 按数据源分组 ====
   数据源:akshare: 53笔 胜率45.5% 均收益0.4%
   数据源:tdx: 201笔 胜率38.9% 均收益-0.2%

==== 按评分分组 ====
   评分<60(一般): 53笔 胜率45.5% 均收益0.4%
   评分≥80(优质): 201笔 胜率38.9% 均收益-0.2%

==== 按持仓天数分组 ====
   持仓0天: 116笔 胜率39.8% 均收益-0.2%
   持仓1天: 70笔 胜率41.4% 均收益-0.1%
   持仓2天: 25笔 胜率36.0% 均收益-0.7%
   持仓3天: 43笔 胜率45.5% 均收益0.5%

==== 全部交易记录 (254笔) ====
   入场日          代码       名称       结果         收益%   持仓      入场价      离场价   评分   源
   2026-05-27   600726   600726   [胜]   +7.0%   1天     7.86     8.41  95分 tdx
   2026-05-27   601600   601600   [负]   -5.0%   1天    12.14    11.53  95分 tdx
   2026-05-27   002585   002585   [胜]   +7.0%   0天    10.43    11.16  95分 tdx
   2026-05-27   000759   000759   [胜]   +7.0%   0天     5.59     5.98  90分 tdx
   2026-05-26   600310   600310   [胜]   +7.0%   2天     5.74     6.14 100分 tdx
   2026-05-26   600578   600578   [负]   -5.0%   1天     9.49     9.02 100分 tdx
   2026-05-26   600726   600726   [胜]   +7.0%   1天     7.27     7.78 100分 tdx
   2026-05-26   600863   600863   [胜]   +6.9%   1天     5.92     6.33 100分 tdx
   2026-05-26   600172   600172   [胜]   +7.0%   1天    12.74    13.63  95分 tdx
   2026-05-25   600545   600545   [胜]   +7.1%   0天     6.38     6.83 100分 tdx
   2026-05-25   000060   000060   [负]   -5.0%   3天     7.76     7.37 100分 tdx
   2026-05-25   000630   000630   [超]   +3.8%   3天     6.50     6.75 100分 tdx
   2026-05-25   000670   000670   [胜]   +7.0%   0天     9.11     9.75 100分 tdx
   2026-05-25   002442   002442   [负]   -5.0%   0天     8.59     8.16 100分 tdx
   2026-05-21   600611   600611   [胜]   +7.0%   0天     5.11     5.47  95分 tdx
   2026-05-21   600530   600530   [负]   -5.0%   0天     8.00     7.60  85分 tdx
   2026-05-21   000518   000518   [胜]   +7.1%   0天     3.50     3.75  85分 tdx
   2026-05-21   000859   000859   [胜]   +7.0%   2天    10.60    11.34  85分 tdx
   2026-05-20   600310   600310   [负]   -4.9%   0天     5.68     5.40 100分 tdx
   2026-05-20   600481   600481   [胜]   +6.9%   1天     7.35     7.86 100分 tdx
   2026-05-20   600758   600758   [负]   -5.0%   0天     5.19     4.93 100分 tdx
   2026-05-20   601222   601222   [负]   -5.0%   0天     7.06     6.71 100分 tdx
   2026-05-20   600863   600863   [负]   -4.9%   0天     5.70     5.42  95分 tdx
   2026-05-19   600500   600500   [负]   -5.1%   0天     6.30     5.98 100分 tdx
   2026-05-19   600578   600578   [负]   -5.1%   0天     7.71     7.32 100分 tdx
   2026-05-19   601678   601678   [负]   -5.0%   0天     6.39     6.07 100分 tdx
   2026-05-19   002354   002354   [负]   -5.0%   3天     7.01     6.66 100分 tdx
   2026-05-19   600903   600903   [胜]   +7.0%   1天     9.40    10.06  95分 tdx
   2026-05-18   600578   600578   [胜]   +7.1%   1天     7.23     7.74 100分 tdx
   2026-05-18   601991   601991   [胜]   +7.0%   1天     7.68     8.22 100分 tdx
   2026-05-18   002031   002031   [负]   -5.0%   1天     8.32     7.90  95分 tdx
   2026-05-18   603333   603333   [负]   -5.1%   0天     9.90     9.40  90分 tdx
   2026-05-18   600784   600784   [超]   -0.9%   3天     8.02     7.95  85分 tdx
   2026-05-14   600500   600500   [负]   -4.9%   2天     5.86     5.57 100分 tdx
   2026-05-14   600666   600666   [负]   -5.4%   1天     6.11     5.78 100分 tdx
   2026-05-14   600726   600726   [负]   -5.0%   0天     8.86     8.42 100分 tdx
   2026-05-14   601016   601016   [负]   -4.9%   0天     5.89     5.60 100分 tdx
   2026-05-13   600488   600488   [负]   -5.0%   1天     7.38     7.01 100分 tdx
   2026-05-13   000591   000591   [超]   -1.3%   3天     6.00     5.92 100分 tdx
   2026-05-13   002081   002081   [负]   -5.0%   0天     8.05     7.65 100分 tdx
   2026-05-13   601991   601991   [胜]   +7.0%   1天     7.14     7.64  95分 tdx
   2026-05-12   600488   600488   [胜]   +7.1%   0天     6.65     7.12 100分 tdx
   2026-05-12   002030   002030   [胜]   +7.0%   0天     7.15     7.65 100分 tdx
   2026-05-12   600198   600198   [负]   -5.0%   2天    10.09     9.59  95分 tdx
   2026-05-12   600396   600396   [负]   -5.0%   0天    14.00    13.30  95分 tdx
   2026-05-12   600601   600601   [负]   -5.0%   3天    13.85    13.16  95分 tdx
   2026-05-11   000036   000036   [胜]   +6.9%   0天     5.92     6.33 100分 tdx
   2026-05-11   002031   002031   [胜]   +7.1%   3天     7.36     7.88 100分 tdx
   2026-05-11   002132   002132   [胜]   +7.0%   3天     5.74     6.14 100分 tdx
   2026-05-11   002256   002256   [负]   -5.1%   0天     5.53     5.25 100分 tdx
   2026-05-08   600707   600707   [胜]   +7.0%   2天     8.96     9.59 100分 tdx
   2026-05-08   600726   600726   [负]   -5.0%   1天     7.80     7.41 100分 tdx
   2026-05-08   600736   600736   [胜]   +7.0%   0天     9.55    10.22 100分 tdx
   2026-05-08   002183   002183   [胜]   +7.1%   1天     6.79     7.27 100分 tdx
   2026-05-08   600130   600130   [负]   -5.0%   1天     5.98     5.68  95分 tdx
   2026-05-07   600666   600666   [超]   -4.2%   3天     5.76     5.52 100分 tdx
   2026-05-07   600821   600821   [超]   +4.7%   3天     8.60     9.00 100分 tdx
   2026-05-07   601778   601778   [负]   -5.0%   3天     7.36     6.99 100分 tdx
   2026-05-07   000060   000060   [胜]   +7.0%   2天     7.71     8.25 100分 tdx
   2026-05-07   000783   000783   [负]   -5.0%   0天     8.84     8.40 100分 tdx
   2026-05-06   000567   000567   [超]   +4.2%   3天     6.61     6.89 100分 tdx
   2026-05-06   002081   002081   [胜]   +7.0%   1天     6.28     6.72 100分 tdx
   2026-05-06   002685   002685   [胜]   +7.0%   1天     8.98     9.61 100分 tdx
   2026-05-06   000783   000783   [胜]   +7.0%   0天     8.11     8.68  95分 tdx
   2026-05-06   600208   600208   [胜]   +7.0%   1天     4.58     4.90  90分 tdx
   2026-04-30   002081   002081   [胜]   +7.0%   0天     5.17     5.53 100分 tdx
   2026-04-30   002498   002498   [超]   +1.1%   3天     9.02     9.12 100分 tdx
   2026-04-30   600545   600545   [负]   -5.0%   0天     5.24     4.98  95分 tdx
   2026-04-30   600654   600654   [超]   +3.0%   3天     4.06     4.18  95分 tdx
   2026-04-30   002522   002522   [胜]   +7.0%   3天     6.47     6.92  95分 tdx
   2026-04-29   600320   600320   [超]   +1.3%   3天     5.31     5.38 100分 tdx
   2026-04-29   600488   600488   [负]   -5.0%   0天     6.18     5.87 100分 tdx
   2026-04-29   600726   600726   [负]   -5.0%   0天     6.95     6.60 100分 tdx
