date,sh_close,sh_open,sh_high,sh_low,sh_chg,sh_amount,gz_close,gz_open,gz_high,gz_low,gz_chg,gz_amount,sz_close,sz_open,sz_high,sz_low,sz_chg,sz_amount,hs_close,hs_open,hs_high,hs_low,hs_chg,hs_amount,up_count,down_count,flat_count,limit_up,limit_down,scanned,sh_ma20,sh_ma60,sh_trend,sh_trend_now,sh_beichi
2025-12-23,3919.98,3919.11,3937.13,3910.74,0.07,806853410816.0,9692.47,9722.35,9753.06,9654.01,-0.32,626101977088.0,13368.99,13338.93,13447.29,13305.76,0.27,1092987256832.0,4620.73,4616.03,4644.53,4607.8,0.2,433141317632.0,2919,5778,211,78,29,9015,3888.01,3915.17,盘整,上涨,False
2025-12-24,3940.95,3920.35,3947.04,3912.31,0.53,773928648704.0,9848.04,9683.51,9854.32,9680.33,1.61,621825818624.0,13486.42,13378.48,13497.1,13347.76,0.88,1106339692544.0,4634.06,4623.68,4639.43,4602.14,0.29,406375628800.0,6935,1697,287,127,8,9054,3891.85,3917.16,盘整,上涨,False
2025-12-25,3959.62,3937.72,3964.07,3936.08,0.47,785018650624.0,9965.0,9855.43,9978.15,9848.15,1.19,665031475200.0,13531.41,13472.7,13563.06,13407.37,0.33,1139504185344.0,4642.54,4629.32,4651.15,4621.92,0.18,385356070912.0,6499,2110,323,116,16,9064,3896.07,3918.92,盘整,上涨,False
2025-12-26,3963.68,3957.83,3977.71,3945.52,0.1,893644374016.0,9964.26,9961.22,10017.6,9892.16,-0.01,719560179712.0,13603.89,13539.05,13674.87,13517.8,0.54,1266547032064.0,4657.24,4639.79,4676.13,4635.11,0.32,460426936320.0,3839,4799,295,106,24,9063,3899.83,3920.76,盘整,上涨,False
2025-12-29,3965.28,3964.65,3983.98,3956.95,0.04,903819755520.0,9958.91,9958.51,10002.81,9917.44,-0.05,696746049536.0,13537.1,13604.3,13650.7,13494.96,-0.49,1235517833216.0,4639.37,4658.27,4672.04,4629.06,-0.38,482613526528.0,2904,5806,216,103,34,9063,3902.39,3923.05,盘整,上涨,False
2025-12-30,3965.12,3947.87,3979.99,3947.42,-0.0,887533338624.0,9954.61,9906.56,10004.16,9897.3,-0.04,705537114112.0,13604.07,13466.3,13645.56,13465.67,0.49,1255086096384.0,4651.28,4617.32,4664.33,4616.63,0.26,457185492992.0,3689,5004,246,86,24,9049,3905.76,3924.76,盘整,上涨,False
2025-12-31,3968.84,3968.73,3977.54,3955.49,0.09,829511892992.0,9955.85,9967.76,9989.62,9897.17,0.01,671909019648.0,13525.02,13627.26,13642.53,13491.68,-0.58,1215723077632.0,4629.94,4656.48,4667.05,4622.1,-0.46,444491530240.0,3819,4826,305,85,21,9056,3910.3,3926.19,盘整,上涨,False
2026-01-05,4023.42,3986.97,4025.26,3983.58,1.38,1067334172672.0,10155.81,10003.67,10155.94,9981.2,2.01,797498933248.0,13828.63,13633.63,13828.97,13633.63,2.24,1479013040128.0,4717.75,4661.62,4721.64,4661.62,1.9,630577364992.0,7273,1541,144,177,38,9173,3917.68,3927.69,盘整,盘整,False
2026-01-06,4083.67,4026.02,4083.67,4025.09,1.5,1175768662016.0,10293.14,10163.76,10293.14,10162.51,1.35,855666065408.0,14022.55,13830.3,14024.12,13827.79,1.4,1630806343680.0,4790.69,4719.21,4790.69,4718.01,1.55,725414576128.0,7347,1464,163,151,6,9131,3926.73,3930.8,盘整,盘整,False
2026-01-07,4085.77,4083.84,4098.78,4069.44,0.05,1197422804992.0,10348.54,10293.62,10382.9,10277.66,0.54,904666546176.0,14030.56,14062.02,14111.18,13935.53,0.06,1656796741632.0,4776.67,4796.93,4802.6,4751.07,-0.29,664897912832.0,3886,4898,187,124,19,9114,3934.81,3934.07,盘整,盘整,False
