trade_id,代码,信号日,买入日,卖出日,is_zt,lu_250d,lu_60d,lu_20d,est_float_cap,price,avg_amount_20d_yi,max_consec_zt,is_250d_high,days_since_last_zt,pre_vol_slope,pre_price_slope,pre_vol_expansion,pre_price_compression,pre_sum_chg,pre_pos_days,pre_close_pos,mkt_7pct_count,mkt_zt_count,mkt_avg_7pct_gain,mkt_hot_sector_count,mkt_sh_above_ma60,sec_zt_count,sec_avg_gain,sec_has_zhongjun,sec_stock_count,sec_is_top1,sec_rank,sec_pos_days_3d,key,评分,信号涨幅%,突破幅度%,量比MAVOL180,持有天数,label_3d_return,label_return_gt_5pct,label_return_gt_0pct,label_is_zt,label_max_return,label_max_drawdown,label_day1_return
21,002365,20250522,20250523,20250529,1,2,2,2,2872.9,18.51,8.3,2,1,0,4.81,5.01,1.22,2.6,38.14,7,0.98,69,51,10.59,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,002365_20250522,85,10.0%,4.7,5.2,4,0.1482,1,1,1,0.27948051948051944,0.04727272727272728,0.12623376623376623
22,002519,20250522,20250523,20250528,0,14,0,0,588.6,5.08,2.2,1,0,0,-18.94,-0.63,0.41,0.29,-6.3,2,0.27,69,51,10.59,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,002519_20250522,67,10.0%,4.4,2.2,3,0.0242,0,1,0,0.03754940711462459,-0.039525691699604605,-0.017786561264822108
23,605033,20250522,20250523,20250529,1,9,0,0,249.6,19.15,0.9,10,0,0,5.47,0.36,1.38,2.81,1.42,5,0.48,69,51,10.59,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,605033_20250522,85,10.0%,8.1,2.9,4,0.0797,1,1,1,0.18984771573604073,-0.07817258883248727,-0.01675126903553291
24,603232,20250523,20250526,20250529,0,13,2,0,213.5,14.4,0.8,2,0,0,-6.74,-0.21,0.83,0.68,-1.17,4,0.04,90,63,10.69,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,603232_20250523,75,10.0%,2.0,2.3,3,0.023700000000000002,0,1,0,0.034818941504178275,-0.029944289693593296,0.016016713091922034
25,603716,20250523,20250526,20250529,0,15,1,1,754.5,11.95,2.8,4,0,0,-5.48,-0.23,0.89,1.33,-0.76,5,0.05,90,63,10.69,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,603716_20250523,67,10.0%,5.0,2.0,3,0.1158,1,1,0,0.14210526315789465,0.0035087719298244864,0.060526315789473636
26,000545,20250526,20250527,20250530,1,13,4,2,396.7,2.65,1.4,1,0,0,4.08,0.68,1.35,0.95,6.16,4,0.67,136,82,10.29,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,000545_20250526,80,10.0%,1.6,3.1,3,0.0116,0,1,1,0.04150943396226411,-0.08301886792452821,-0.052830188679245334
27,000777,20250526,20250527,20250530,0,9,4,1,670.9,19.9,2.4,1,0,0,8.75,0.27,1.31,1.52,2.53,4,0.55,136,82,10.29,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,000777_20250526,85,10.0%,9.2,2.2,3,-0.028399999999999998,0,0,0,0.09217737917289494,-0.036372695565520696,0.048829098156452436
28,002471,20250526,20250527,20250530,1,20,2,1,3217.7,5.18,10.3,4,1,0,-4.33,1.08,0.59,0.85,15.49,5,1.0,136,82,10.29,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,002471_20250526,80,10.0%,1.4,6.2,3,0.013300000000000001,0,1,1,0.13059701492537298,-0.009328358208955357,0.027985074626865572
29,002549,20250526,20250527,20250530,0,14,4,3,2524.1,10.26,9.3,5,0,0,0.57,0.2,1.21,0.94,5.75,4,0.3,136,82,10.29,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,002549_20250526,67,10.0%,0.9,2.8,3,-0.0555,0,0,0,0.07992565055762077,-0.07063197026022303,0.00836431226765798
30,603800,20250526,20250527,20250530,0,15,4,2,365.1,23.34,1.5,1,0,100,2.99,-1.9,1.0,0.52,-15.02,2,0.14,136,82,10.29,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,603800_20250526,66,7.5%,7.2,1.8,3,-0.0005,0,0,0,0.05363321799307952,-0.019463667820069173,0.03416955017301034
31,002427,20250527,20250528,20250605,1,6,2,2,3233.7,9.72,10.4,5,1,0,0.99,0.93,0.87,0.6,24.8,5,0.81,106,78,10.47,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,002427_20250527,67,9.9%,1.1,2.8,6,0.0034000000000000002,0,1,1,0.11408730158730163,-0.10714285714285715,0.039682539682539715
32,600192,20250527,20250528,20250604,0,12,3,1,191.8,8.09,0.7,3,1,0,3.78,0.21,1.35,2.12,6.71,3,1.0,106,78,10.47,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,600192_20250527,80,10.1%,3.3,3.1,5,-0.0147,0,0,0,0.2137500000000001,-0.015000000000000013,0.08250000000000002
33,605196,20250527,20250528,20250604,0,12,3,2,373.6,15.95,1.3,1,1,100,5.04,0.01,1.7,2.13,1.78,5,0.44,106,78,10.47,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,605196_20250527,59,8.8%,0.3,1.5,5,0.0452,0,1,0,0.07238949391415753,-0.0006406149903907616,0.0365150544522742
34,002177,20250528,20250529,20250605,1,11,0,0,646.5,5.24,2.4,2,0,0,10.63,0.32,1.42,2.95,0.76,4,0.28,89,66,10.34,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,002177_20250528,70,10.1%,2.2,1.8,5,0.48729999999999996,1,1,1,0.5514705882352939,0.16544117647058812,0.16544117647058812
35,600678,20250528,20250529,20250604,0,11,1,0,855.0,8.5,3.2,5,0,0,-5.1,-0.28,0.6,0.85,-1.74,4,0.25,89,66,10.34,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,600678_20250528,57,10.0%,4.3,1.3,4,-0.0431,0,0,0,0.05769230769230767,-0.06334841628959281,-0.013574660633484075
36,605303,20250528,20250529,20250604,0,21,4,0,142.1,11.02,0.5,4,0,0,-3.63,0.05,0.76,0.98,1.38,5,0.36,89,66,10.34,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,605303_20250528,70,10.0%,0.7,1.9,4,-0.032799999999999996,0,0,0,-0.019248395967002827,-0.05499541704857925,-0.045829514207149404
37,000037,20250529,20250530,20250604,0,9,4,1,260.5,9.46,0.9,1,0,0,-2.09,0.07,0.81,0.66,2.96,4,0.49,215,151,11.04,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,000037_20250529,70,10.0%,2.4,1.8,3,-0.0821,0,0,0,-0.05918367346938776,-0.08367346938775512,-0.06428571428571436
38,000545,20250529,20250530,20250604,0,13,4,2,509.8,2.76,1.8,1,0,0,8.86,1.18,1.81,1.38,8.09,4,0.61,215,151,11.04,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,000545_20250529,80,10.0%,5.7,2.8,3,0.0077,0,1,0,0.01492537313432837,-0.02611940298507473,-0.0037313432835821753
39,000981,20250529,20250530,20250604,0,20,0,0,2500.7,2.24,9.1,5,0,0,-11.11,-0.46,0.53,0.48,0.28,3,0.28,215,151,11.04,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,000981_20250529,57,9.8%,1.0,1.4,3,-0.0481,0,0,0,-0.03571428571428574,-0.06696428571428586,-0.049107142857142995
40,002657,20250529,20250530,20250605,1,7,3,0,1178.0,21.01,4.5,4,0,0,-3.27,-0.5,0.68,1.46,-3.26,3,0.08,215,151,11.04,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,002657_20250529,57,10.0%,0.8,1.1,4,0.2364,1,1,1,0.31398537477148086,0.03336380255941501,0.08592321755027435
41,600869,20250529,20250530,20250604,0,16,7,0,422.8,5.24,1.6,1,0,0,6.51,-0.47,1.48,1.1,-1.79,4,0.28,215,151,11.04,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,600869_20250529,67,10.1%,6.6,1.8,3,-0.0433,0,0,0,-0.007575757575757582,-0.06818181818181823,-0.03598484848484856
